MTO_Number,Production_Orders,Materials
WS2511001,4,"03.03.001,03.04.001,05.01.85,07.25.80"
WS2510012,3,"03.03.001,03.04.001,07.25.80"
WS2510011,3,"03.03.001,03.04.001,07.25.80"
WS2510010,3,"03.03.001,03.04.001,07.25.80"
WS2510007,5,"03.03.001,03.04.001,07.25.80"
WS2510006,4,"03.03.001,03.04.001,05.01.76,07.25.77"
WS2510005,6,"03.03.001,03.04.001,07.25.80"
WS2510004,14,"05.02.10.25,03.03.001,03.04.001,05.01.91,05.01.85,07.25.84,07.01.80"
WS2510002,1,07.23.007
WS2509010,1,07.33.010
WS2509009,7,"03.03.001,03.04.001,05.01.85,07.25.80"
WS2509006,4,"03.03.001,03.04.001,07.25.80"
WS2509005,1,07.23.007
WS2509004,4,"03.03.001,03.04.001,07.25.80"
WS2509002,5,"03.03.001,03.04.001,05.01.85,07.25.80"
WS2509001,4,"03.03.001,03.04.001,05.01.85,07.25.80"
WS2508010,1,05.02.10.25
WS2508009,4,"03.03.001,03.04.001,05.01.85,07.25.80"
WS2508008,22,"05.20.03.02.054,05.06.11.09,05.02.26.16,05.06.11.10,05.06.29.003,03.03.001,07.04.078"
WS2508006,7,"07.05.16.03,07.05.16.04,07.05.16.02,07.05.16.01,07.05.16.06,07.05.16.05,07.05.16.07"
WS2508005,4,"03.03.001,03.04.001,05.01.85,07.25.80"
WS2508004,5,"03.03.001,03.04.001,05.01.85,07.25.80"
WS2508003,20,"05.02.01.52,05.02.08.056,05.02.26.50,05.02.20.46,05.02.27.075,05.20.01.04.013,05.02.04.167,03.04.001,03.03.001,05.02.08.057,03.02.02.150.01,05.20.01.01.034,03.02.02.171.01,07.02.139"
WS2508002,6,"07.08.001,07.08.002,07.08.003"
WS2507019,4,"03.03.001,03.04.001,05.01.85,07.25.80"
WS2507018,16,"01.22.008,03.03.001,03.04.001,05.01.83,05.02.10.25,05.01.85,07.01.78,07.25.80,07.01.80"
WS2507017-2,70,"05.02.20.17,05.02.15.49,05.20.01.11.014,06.02.012,06.02.079,05.02.01.08,05.02.26.25,05.02.04.181,05.02.08.040,05.02.26.03,05.02.27.039,05.02.04.136,05.20.01.04.011,05.20.01.11.033,05.02.27.011,03.02.02.165.01,03.04.001,03.03.001,05.20.01.01.027,05.02.20.24,05.02.03.003,05.02.13.02,05.02.04.178"
WS2507017-1,27,"05.02.27.050,05.02.08.040,05.02.27.039,05.02.20.24,05.02.03.003,05.02.13.02,05.20.01.11.014,05.02.04.178,05.02.09.10,05.02.09.11,05.02.20.11.02,05.02.20.11.01,05.20.01.10.033,05.02.04.179,03.02.02.165.01,03.04.001,03.03.001,05.20.01.01.027,05.02.04.180,06.02.079,06.02.100,06.02.088,05.02.26.03"
WS2507015,1,03.02.02.150.01
WS2507011,1,06.02.003
WS2507008,3,"05.02.08.057,05.02.04.167"
WK2511003,5,05.01.85
WK2509008,5,05.01.85
WK2508006,21,"05.07.21.03,05.07.21.04,05.07.21.02,05.07.21.01,05.07.21.06,05.07.21.05,05.07.21.07,05.20.04.01.20.03,05.20.04.01.20.04,05.20.04.01.20.02,05.20.04.01.20.01,05.20.04.01.20.06,05.20.04.01.20.05,05.20.04.01.20.07,06.05.16.03,06.05.16.04,06.05.16.02,06.05.16.01,06.05.16.06,06.05.16.05,06.05.16.07"
WK2507016,1,05.02.14.27
PO20260131039,8,"03.03.001,03.05.001"
PO20260131009,14,"05.15.01.036,05.15.01.035,05.15.01.040,05.15.01.033,05.15.01.039,05.15.01.041,05.15.01.038,05.15.01.032,05.15.01.030,05.15.01.028,05.15.01.034,05.15.01.037,05.15.01.031,05.15.01.029"
PO20251230970,3,"03.05.001,03.03.001"
PO20251230941,2,"05.15.01.139,05.20.05.013"
PO20251230923,2,"05.15.01.139,05.20.05.011"
PO20251230855,2,"05.15.01.078,05.20.05.020"
PO20251230842,4,"05.15.01.008,05.15.01.009,05.15.01.007,05.15.01.006"
PO20251230833,3,"03.03.001,03.05.001"
PO20251230823,1,03.02.23.002
PO20251230804,2,"05.20.05.019,05.15.01.140"
PO20251230775,4,"03.05.001,03.03.001"
PO20251230723,4,"03.05.001,03.03.001"
PO20251230718,1,03.02.23.004.01
PO20251230649,4,"05.15.01.008,05.15.01.009,05.15.01.007,05.15.01.006"
PO20251130524,2,"03.05.001,03.03.001"
PO20251130514,1,05.15.01.056
PO20251130499,2,"03.05.001,03.03.001"
PO20251130474,1,03.02.23.005.01
PO20251130455,2,"05.15.01.139,05.20.05.013"
PO20251130437,2,"03.04.001,03.03.001"
PO20251130423,1,05.15.01.056
PO20251030388,2,"03.02.23.004,03.02.23.002"
PO20251030360,2,"05.15.01.056,05.15.01.057"
PO20251030355,1,05.15.01.052
PO20251030351,4,"05.15.01.008,05.15.01.009,05.15.01.007,05.15.01.006"
PO20251030243,1,05.15.01.057
PO20251030208,14,"03.04.001,03.05.001,03.03.001"
PO20250930143,1,03.03.001
PO20250930142,1,03.02.23.005
PO20250930116,11,"03.04.001,03.05.001,03.03.001"
PO20250930056,1,03.03.001
PO20250930049,1,05.15.01.050
PO20250930047,12,"03.04.001,03.05.001,03.03.001"
PO20250930046,19,"05.15.01.088,05.15.01.087,05.20.05.017,05.20.05.018,05.15.01.093,05.15.01.092,05.15.01.095,05.15.01.086,05.15.01.090,05.09.99.02,05.15.01.091,05.15.01.089,05.09.99.03,05.09.99.04,05.09.99.06,05.15.01.096,05.09.99.05,05.15.01.094,05.09.99.01"
PO20250930045,16,"05.15.01.027,05.15.01.025,05.15.01.020,05.15.01.018,05.15.01.023,05.15.01.021,05.15.01.019,05.15.01.017,05.15.01.016,05.15.01.015"
PO20250930036,2,"03.02.24.006.01,03.02.23.002.01"
PO20250930011,1,05.15.01.056
PO20250930002,4,"05.15.01.008,05.15.01.009,05.15.01.007,05.15.01.006"
PO20250929998,14,"05.15.01.031,05.15.01.032,05.15.01.030,05.15.01.039,05.15.01.041,05.15.01.038,05.15.01.036,05.15.01.035,05.15.01.040,05.15.01.033,05.15.01.029,05.15.01.028,05.15.01.037,05.15.01.034"
PO20250829899,4,"05.15.01.139,05.20.05.011,05.20.05.013"
PO20250829891,2,"03.05.001,03.03.001"
PO20250829879,4,"05.15.01.008,05.15.01.009,05.15.01.007,05.15.01.006"
PO20250829791,2,"03.02.23.004.01,03.02.23.001.01"
PO20250729701,2,"05.15.01.137,05.20.05.019"
PO20250729700,4,"05.15.01.008,05.15.01.009,05.15.01.007,05.15.01.006"
PO20250729699,18,"05.15.01.026,05.15.01.025,05.15.01.023,05.15.01.021,05.15.01.019,05.15.01.017,05.15.01.044,05.15.01.043,05.15.01.042,05.15.01.024,05.15.01.027,05.15.01.020,05.15.01.059,05.15.01.018,05.15.01.015,05.15.01.022,05.15.01.016"
PO20250729675,4,"05.15.01.003,05.15.01.004,05.15.01.002,05.15.01.126"
PO20250729672,14,"05.15.01.035,05.15.01.041,05.15.01.040,05.15.01.039,05.15.01.038,05.15.01.036,05.15.01.033,05.15.01.032,05.15.01.030,05.15.01.031,05.15.01.029,05.15.01.028,05.15.01.037,05.15.01.034"
PO202500729676,2,"05.15.01.138,05.20.05.014"
DY261007S,14,"05.02.26.34,05.02.27.079,05.02.27.080"
DY261004S,8,"05.02.14.18,05.02.01.48,05.02.20.44,05.02.26.48,05.02.27.068,05.20.01.03.015,05.02.04.135,06.02.135"
DY25C079S,16,"05.02.04.041,05.05.26.23,05.05.27.03,05.02.26.45,05.02.12.04,05.20.01.11.056,05.02.03.071,05.02.03.070,05.02.03.069,05.20.01.09.100,05.20.02.10.002.001,06.02.041"
DY25B077S,152,"05.02.14.30,05.02.03.069,05.02.03.070,05.02.03.071,05.02.03.073,05.02.14.21,05.02.21.05,05.02.04.131,05.02.04.075,05.02.04.041,05.02.15.60,05.05.26.23,05.02.15.50,05.02.26.42,05.02.14.29,05.02.26.55,05.02.04.185,05.05.27.03,05.05.11.28,05.02.27.050,05.02.26.30,05.02.24.02,05.02.11.01,05.02.04.055,05.02.12.16,05.02.12.04,05.02.26.45,05.02.20.48,05.02.20.47,05.20.01.11.064,05.02.12.38.001,05.02.20.49,05.02.19.05,05.02.22.09,05.02.03.074,05.02.21.17,05.20.01.11.068,05.02.27.082,05.02.15.65,05.20.02.10.002.001,05.05.28.03,05.05.05.085,05.05.05.084,05.05.26.21,05.02.19.01,05.02.22.01,05.02.09.11,05.02.09.10,05.02.20.11.02,05.02.20.11.01,05.20.01.10.033,05.02.04.090,05.02.20.18,05.02.03.023,05.02.03.015,05.02.27.042,05.20.01.11.039,05.20.01.11.056,05.02.20.24,05.20.01.09.099,05.02.04.162,06.02.107,06.02.161,06.03.085,06.02.065,06.02.100,06.02.084,06.02.041,05.05.26.22"
DY25B075S,38,"05.02.04.085,05.02.26.32.001,05.02.26.35.001,05.02.04.108,05.03.11,05.03.07,05.02.22.03,05.02.03.018,05.02.20.23,05.02.27.047,05.02.15.19,05.02.22.06,05.02.03.021,05.02.01.35,05.02.20.19,05.02.27.060,05.20.01.11.071,05.20.01.11.070,06.02.095,06.02.122"
DY25B074S,1,05.02.20.50
DY25B073S,70,"05.02.04.190,05.04.03,05.03.11,05.03.07,05.02.20.22,05.02.22.03,05.02.03.018,05.02.26.56,05.20.01.11.072,05.02.14.32,05.02.29.04,05.02.15.66,06.02.163"
DY25B072S,17,"05.02.26.57,05.02.20.22,05.02.22.03,05.02.03.018,05.02.14.32,05.20.01.11.069,05.02.29.04,05.02.04.190,06.02.164"
DY25B071S,70,"05.02.20.17,05.02.27.011,05.20.01.11.033,05.02.26.25,05.02.01.08,05.02.04.011,05.02.15.03,06.02.012"
DY25B070S,13,"05.02.27.007,05.02.04.006,06.02.008"
DY25B069S,1,05.01.29
DY25B067S,41,"05.05.05.022,05.08.02.02.005,05.05.04.021,05.05.01.059,05.05.01.058,05.05.03.015,05.05.10.017,05.20.02.03.021,06.03.092"
DY25B066S,79,"05.02.04.116,05.02.15.61,05.02.12.37,05.02.14.18,05.02.12.45,05.02.01.48,05.02.20.44,05.02.26.48,05.02.27.068,05.02.14.25,05.02.01.52,05.02.04.168,05.20.01.03.015,05.02.04.135,05.02.26.47,05.02.01.41.002,05.20.01.10.041,05.02.15.52,05.02.20.42,05.02.27.077,05.20.01.11.059,06.02.135,06.02.132,06.02.140"
DY25B064S,59,"05.02.26.25,05.02.01.08,05.02.04.011,05.02.15.03,05.02.20.17,05.02.27.011,05.20.01.11.033,06.02.012"
DY25A063S,4,"05.01.29,05.01.44,07.01.29,07.01.44"
DY25A062S,35,"05.02.19.05,05.02.14.29,05.02.26.55,05.02.04.185,05.02.20.49,05.02.22.09,05.02.03.074,05.02.14.30,05.02.21.17,05.20.01.11.068,05.02.27.082,06.02.161"
DY259059S-A1,2,05.05.05.027
DY259059S,141,"05.05.05.022,05.05.05.026,05.05.05.028,05.05.12.14,05.05.10.021,05.05.04.026,05.05.01.041,05.05.08.06,05.05.01.059,05.05.01.058,05.05.03.015,05.08.01.01.006,05.05.04.025,05.20.02.03.024,05.08.02.02.009,05.20.02.03.026,05.05.22.05,05.05.20.04,05.05.03.014,05.05.10.017,05.08.02.02.006,05.05.04.022,05.20.02.03.021,06.03.034,06.03.035,06.03.030,05.20.02.03.025,05.05.05.027"
DY259057S,10,05.14.003
DY259056S,2,05.01.78
DY259055S,71,"05.02.26.32,05.02.26.35,05.02.04.085,05.02.04.108,05.03.11,05.02.22.03,05.02.03.018,05.20.01.11.041,05.02.27.047,05.02.15.19,05.02.22.06,05.02.03.021,05.02.01.35,05.02.20.19,05.20.01.11.011,05.02.27.060,05.02.15.26,05.04.03,06.02.122,07.42.001"
DY259053S,2,"05.01.88,05.01.87"
DY258050S,53,"05.02.08.001,05.20.01.01.001,05.04.09,05.06.24.04,05.01.83,05.01.07.01,05.01.08,05.04.08,05.03.08,07.01.78,07.01.07,07.01.08,07.20.006"
DY258049S,2,"05.02.08.057,05.02.26.24"
DY258048S,19,"05.01.06,05.01.07.01,07.01.06,07.01.07,07.25.07"
DY258047S,16,"05.01.88,05.01.87,07.25.82,07.25.81"
DY258046S,82,"05.02.26.35,05.02.26.32,05.02.04.108,05.02.04.085,05.02.15.26,05.02.22.06,05.02.03.021,05.02.01.35,05.20.01.11.011,05.02.27.060,05.02.20.23,05.02.22.03,05.02.03.018,05.20.01.11.041,05.02.27.047,05.02.15.19,06.02.122,06.02.095"
DY258045S,41,"05.02.04.028,05.02.15.06,05.02.26.05,05.02.20.37,05.02.20.36,05.02.01.13,05.20.01.07.024,06.02.029"
DY258044S,39,"05.05.05.065,05.05.05.066,05.05.04.026,05.05.10.021,05.20.02.03.053,05.08.02.02.009,05.05.03.015,05.08.02.02.006,05.05.04.022,05.20.02.03.054,06.03.070,06.03.071"
DY257043S,2,05.02.27.080
DY257041S,6,"05.02.27.079,05.02.04.177,05.02.04.176,05.02.04.175,05.02.04.174,05.02.04.173"
DY257040S,8,06.02.139
DY257038S-V1,13,"05.02.04.107,05.20.01.09.022,05.02.15.48,05.02.12.42,05.02.12.43,05.02.26.34,05.20.01.09.023,06.02.121"
DY257038S,6,06.02.121
DY257037S,4,06.02.065
DY257036S,1,06.02.067
DY257035S-V2,4,07.01.44
DY256033S,6,"07.01.53.03,07.01.53.02,07.01.53.01"
DS261020S,18,"05.02.04.041,05.05.26.23,05.02.26.45,05.02.12.04,05.02.20.24,05.02.03.071,05.02.03.070,05.02.03.069,05.20.01.11.056,03.03.001,07.02.041"
DS261013S,28,"05.11.05.001,05.11.07.002,05.05.01.045,05.10.14.03,05.10.14.02,05.10.14.01,05.11.13.001,05.11.03.002,05.11.03.001,05.11.04.002,05.11.04.001,05.20.02.11.012,05.11.07.003,05.11.06.002,05.11.09.001,05.04.03,03.03.001,07.15.007,07.15.008"
DS261010S,39,"05.02.04.041,05.02.26.45,05.02.12.04,05.02.20.24,05.02.03.071,05.02.03.070,05.02.03.069,05.20.01.11.056,07.02.041"
DS261008S,4,"03.03.001,03.04.001,05.01.44,07.01.44"
DS261007S,1,05.02.27.080
DS261004S,8,"03.03.001,03.04.001,05.01.44,07.25.44"
DS261003S,15,"05.02.21.05,05.02.24.02,05.02.11.01,05.02.04.055,05.02.19.01,05.02.22.01,05.02.20.18,07.02.065,03.03.001"
DS261002S,3,"03.03.001,05.01.71,07.01.71"
DS25C322S,62,"05.02.04.075,05.02.15.60,05.02.26.30,05.02.12.16,05.02.20.23,05.02.03.023,05.02.03.015,05.02.27.042,05.20.01.11.039,07.02.084,03.03.001"
DS25C321S,3,"05.04.03,03.03.001,07.01.07"
DS25C320S,29,"05.02.10.20,05.02.26.35.001,05.02.08.047,05.02.04.108,05.03.11,05.03.07,05.02.22.06,05.02.03.021,05.02.01.35,05.02.20.19,05.20.01.11.070,05.02.27.060,05.02.15.26,05.20.01.01.031,03.03.001,07.02.122"
DS25C319S,80,"05.05.05.066,05.02.04.085.001,05.02.26.32.001,05.02.04.085,05.02.04.108.001,05.05.03.015,05.05.10.017,05.05.03.012,05.08.02.02.006,05.05.04.022,05.20.02.03.054,05.02.08.024,05.02.15.19.001,05.02.15.19,05.03.11,05.03.07,05.02.20.23,05.02.22.03,05.02.03.018,05.20.01.11.071,05.02.27.047,05.02.27.060,05.02.01.35,05.02.15.26.001,05.20.01.01.019,03.03.001,05.20.01.01.016,07.03.071,07.02.095,07.02.122"
DS25C318S,34,"05.02.26.32,05.02.04.085,05.02.08.024,05.02.27.007,05.02.04.006,05.02.22.03,05.02.03.018,05.02.20.23,05.20.01.11.041,05.02.27.047,05.02.15.19,05.20.01.01.016,05.04.03,05.03.11,05.03.07,05.20.01.01.019,03.03.001,07.02.008,07.02.095"
DS25C317S,15,"05.16.01.01,05.16.01.03,05.20.01.08.001,05.16.01.06,05.20.01.08.003,03.03.001,03.04.001,05.01.79,07.08.001,07.08.003,07.01.75"
DS25C316S,32,"05.02.08.024,05.02.04.085.001,05.02.15.19.001,05.02.27.047,05.20.01.01.016,03.03.001,07.02.095"
DS25C315S,34,"05.02.10.20,05.02.26.35,05.02.08.047,05.02.04.108,05.02.22.06,05.02.03.021,05.02.01.35,05.02.20.19,05.20.01.11.011,05.02.27.060,05.02.15.26,05.20.01.01.031,03.03.001,07.02.122"
DS25C314S,24,"05.02.27.073,05.05.26.22,05.20.01.11.062,05.02.26.52,05.02.14.21,03.03.001,05.02.20.11.02,05.02.20.11.01,05.02.04.090,05.02.27.050"
DS25C313S,92,"05.02.03.074,05.02.14.30,05.05.27.03,05.02.14.29,05.02.26.55,05.05.11.28,05.02.04.185,05.20.02.10.002.001,05.05.28.03,05.05.05.085,05.05.05.084,05.05.26.21,05.02.15.65,05.02.20.49,05.02.19.05,05.02.22.09,05.02.21.17,05.20.01.11.068,05.02.27.082,03.03.001,07.03.085,07.02.161"
DS25C312S,50,"05.05.05.028,05.05.01.041,05.05.08.06,05.05.10.021,05.05.04.026,05.05.22.05,05.05.20.04,05.05.03.014,05.08.02.02.009,05.20.02.03.026,07.03.035"
DS25C310S-1,6,"05.02.08.024,05.02.27.007,05.02.04.006,05.20.01.01.016,03.03.001,07.02.008"
DS25C309S,65,"05.02.26.32,05.02.08.027,05.02.04.085,05.02.15.19,05.02.20.23,05.02.22.03,05.02.03.018,05.20.01.11.041,05.02.27.047,05.04.03,05.03.11,05.03.07,05.20.01.01.019,03.03.001,07.02.095"
DS25C308S,30,"05.02.26.56,05.02.04.190,05.04.03,05.03.11,05.03.07,05.02.20.24,05.02.22.03,05.02.03.018,05.02.14.32,05.20.01.11.072,05.02.29.04,03.03.001,07.02.163"
DS25C307S,40,"05.05.05.065,05.05.04.026,05.05.10.021,05.05.03.015,05.05.03.012,05.20.02.03.053,05.08.02.02.009,03.03.001,07.03.070"
DS25C306S,94,"05.05.05.022,05.05.05.028,05.08.02.02.005,05.05.04.021,05.05.10.021,05.05.04.026,05.05.01.041,05.05.08.06,05.05.01.059,05.05.01.058,05.05.03.015,05.08.02.02.009,05.20.02.03.026,05.05.22.05,05.05.20.04,05.05.03.014,05.05.10.017,05.08.02.02.006,05.05.04.022,05.20.02.03.021,03.03.001,07.03.088,07.03.035,07.03.030"
DS25B305S,5,"03.04.001,03.03.001,05.01.06,07.25.06"
DS25B304S,8,"03.03.001,03.04.001,05.01.07.01,07.25.07"
DS25B303S,40,"07.01.53.01,07.01.53.03,07.01.53.04,07.01.53.02,05.01.06,05.04.03,05.01.07.01,05.01.71,07.01.07,07.01.06,07.25.06,07.01.71,03.03.001"
DS25B302S,46,"05.05.05.066,05.05.03.015,05.05.10.017,05.05.03.012,05.08.02.02.006,05.05.04.022,05.20.02.03.054,03.03.001,07.03.071"
DS25B297S,10,"05.02.14.24.001,05.20.01.11.060,03.03.001,03.04.001,03.02.02.150,03.02.02.171,07.02.138,05.02.27.072"
DS25B296S,26,"05.02.26.51,05.02.01.51,05.02.14.24.001,05.02.08.056,05.05.02.28,05.20.01.11.060,05.02.20.51,05.02.27.072,05.20.01.04.015,05.02.04.138,03.03.001,03.04.001,03.02.02.150,05.02.08.057,05.20.01.01.034,03.02.02.171,07.02.138"
DS25B293S,1,05.02.26.35
DS25B292S,1,05.02.27.079
DS25A289S,45,"05.02.26.32,05.02.04.085,05.02.26.35,05.02.04.108,05.02.08.027,05.02.22.03,05.02.03.018,05.02.20.23,05.20.01.11.041,05.02.27.047,05.02.15.19,05.02.22.06,05.02.03.021,05.02.01.35,05.02.20.19,05.20.01.11.011,05.02.27.060,05.02.15.26,05.04.03,05.03.11,05.03.07,05.20.01.01.019,03.02.02.150,03.03.001,07.02.095,07.02.122"
DS25A287S,1,05.02.27.080
DS25A286S,81,"05.06.06.027,05.05.08.03,05.05.10.011,05.08.01.02.010,05.05.03.004,05.05.04.014,05.06.08.048,05.06.09.26,05.06.02.26,05.06.02.28,05.06.02.27,05.06.12.015,05.06.21.04,05.06.20.05,05.06.04.056,05.06.04.032,05.06.04.031,05.06.04.045,05.20.03.02.038,05.05.02.06,05.05.01.006,05.05.02.18,05.05.12.07,05.05.05.016,05.20.02.10.009,05.20.02.14.02.002,05.05.26.06,03.03.001,03.04.001,05.01.79,07.01.75,07.18.382"
DS25A284S,1,03.03.001
DS25A283S,7,"05.02.08.056,03.03.001,03.02.02.150,05.02.08.057,05.20.01.01.034,03.02.02.171,07.23.009"
DS25A281S,30,"05.02.08.001,03.03.001,03.04.001,05.20.01.01.001,05.04.09,05.06.24.04,05.04.08,05.03.08,07.20.006"
DS25A280S,4,"03.03.001,03.04.001,05.01.44,07.25.44"
DS25A278S,13,"05.24.01.01,05.24.01.02,03.03.001,03.04.001,05.24.02.01,05.24.02.02,07.38.001,07.38.002"
DS25A277S,39,"05.02.10.20,05.02.26.35,05.02.08.047,05.02.04.108,05.02.22.06,05.02.03.021,05.02.01.35,05.02.20.19,05.20.01.11.011,05.02.27.060,05.02.15.26,05.20.01.01.031,03.02.02.150,03.03.001,07.02.122"
DS25A276S,9,"03.03.001,07.01.53.01,07.01.53.03"
DS259275S,8,"03.03.001,03.04.001,07.25.82,07.25.81"
DS259274S,205,"05.02.04.059,05.02.04.158,05.02.08.050,05.02.08.056,05.02.01.12,05.02.26.24,05.02.26.52,05.02.26.51,05.02.01.51,05.02.14.24,05.02.15.15,05.02.03.028,05.02.26.45,05.02.27.038,05.02.14.23,05.02.26.33,05.02.04.103,05.02.05.24,05.02.05.23,05.02.05.21,05.02.05.20,05.02.05.19,05.02.27.015,05.02.04.020,05.02.22.08,05.02.20.39,05.02.27.073,05.02.14.21,05.02.04.162,05.02.08.063,05.02.27.072,05.05.02.28,05.02.20.51,05.02.15.56,05.02.17.01,05.02.20.24,05.02.15.25,05.02.20.16,05.02.01.30,05.02.27.058,05.20.01.01.032,05.02.08.057,05.20.01.01.034,03.03.001,03.04.001,03.02.02.150,05.01.08,05.01.07.01,05.01.83,05.20.01.01.040,03.02.02.171,07.01.08,07.01.07,07.01.78,07.02.156,07.02.021,07.02.068,07.02.138,07.02.056,07.02.116,05.02.05.25"
DS259273S,5,"03.03.001,03.04.001,05.01.44,07.01.44"
DS259272S,104,"05.02.26.35,05.02.26.32,05.02.08.047,05.02.08.027,05.02.04.108,05.02.04.085,05.02.15.26,05.02.22.06,05.02.03.021,05.02.01.35,05.02.20.19,05.20.01.11.011,05.02.27.060,05.02.20.23,05.02.22.03,05.02.03.018,05.20.01.11.041,05.02.27.047,05.02.15.19,05.20.01.01.031,05.04.03,05.03.11,05.03.07,05.20.01.01.019,03.03.001,07.02.122,07.02.095"
DS259270S,4,"05.02.20.51,05.20.01.01.034,05.02.27.072,05.02.14.24.001"
DS259266S,2,"05.01.71,05.01.06"
DS259265S,19,"05.02.04.028,05.02.26.06,05.02.15.06,05.02.20.06,05.02.01.13,05.20.01.11.016,03.02.02.075,03.03.001,03.04.001,07.02.029"
DS259264S,5,"03.04.001,03.03.001,05.01.06,07.25.06"
DS259258S,4,"05.02.26.34,05.20.01.11.044"
DS258256S,2,05.02.27.080
DS258255S,4,"03.03.001,03.04.001,05.01.44,07.01.44"
DS258251S,4,"03.04.001,03.03.001,05.01.06,07.25.06"
